"Norme","Abréviation","Libellé","Nature d'ordre","Libellé","Format"
"ISO 20022","SCT","SEPA Credit Transfert","Virement Européen SEPA","Virement Européen SEPA","pain.001.001.02"
"ISO 20022","SCT","SEPA Credit Transfert","Virement Européen SEPA","Virement Européen SEPA","pain.001.001.03"
"CFONB","CT","Credit Transfert","Virement International","Virement International","CFONB320"
"ISO 20022","CT","Credit Transfert","Virement International","Virement International","pain.001.001.02"
"ISO 20022","CT","Credit Transfert","Virement International","Virement International","pain.001.001.03"
"DTA","CT","Credit Transfert","Virement International","virement international urgent (DTA ausland)","DTA"
"AEB34-1","CT","Credit Transfert","Virement International","virement international urgent (DTA ausland)","AEB34-1"
"ISO 20022","CT","Credit Transfert","Virement de Trésorerie","Virement de Trésorerie","pain.001.001.02"
"ISO 20022","CT","Credit Transfert","Virement de Trésorerie","Virement de Trésorerie","pain.001.001.03"
"CFONB","CT","Credit Transfert","Virement de Trésorerie","Virement Urgent ou de Trésorerie","CFONB320"
"FONB","CT","Credit Transfert","Virement de Trésorerie","Virement Urgent ou de Trésorerie","CFONB160"
"PAYORD","CT","Credit Transfert","Virement de Trésorerie","Virement Urgent ou de Trésorerie","PAYORD 912"
"ISO 20022","VCOM","Credit Transfert","Virement Commerciale","Facture à échéance","pain.001.001.02"
"ISO 20022","VCOM","Credit Transfert","Virement Commerciale","Facture à échéance","pain.001.001.03"
"PAYEXT","VCOM","Credit Transfert","Virement Commerciale","Facture à échéance","PAYEXT 96A"
"FIXE400","VCOM","Credit Transfert","Virement Commerciale","Facture à échéance","FIXE400"
"ISO 20022","","SEPA Credit Transfert","Virement Multi fonctions","Virement Multi fonctions","pain.001.001.02"
"ISO 20022","","SEPA Credit Transfert","Virement Multi fonctions","Virement Multi fonctions","pain.001.001.03"
"CMI101","","SEPA Credit Transfert","Virement Multi fonctions","Virement Multi fonctions","CMI101"
