"Banque","Ville","Code BIC","Code Banque","Code Pays 2c","Code Localité","Code agence"
"ABC INTERNATIONAL BANK PARIS BRANCH","PARIS","ABCOFRPP","ABCO","FR","PP",""
"ABE CLEARING SAS/EBA CLEARING","PARIS","EBAPFRPPCOL","EBAP","FR","PP","COL"
"ABE CLEARING SAS/EBA CLEARING","PARIS","EBAPFRPPPSA","EBAP","FR","PP","PSA"
"ABE CLEARING SAS/EBA CLEARING","PARIS","EBAPFRPP","EBAP","FR","PP",""
"ABE CLEARING SAS/EBA CLEARING","PARIS","EBAPFRPPINT","EBAP","FR","PP","INT"
"ABE CLEARING SAS/EBA CLEARING (SYSTEM OPERATOR)","PARIS","EBAPFRPS","EBAP","FR","PS",""
"ACCENTURE INSURANCE SERVICES","MAISONS LAFFITTE","ACIVFRPP","ACIV","FR","PP",""
"ACCOR","PARIS","GRACFRP2","GRAC","FR","P2",""
"ADISSEO FRANCE","ANTONY","ADSSFR22","ADSS","FR","22",""
"AGENCE FRANCAISE DE DEVELOPPEMENT","PARIS","AGFDFRPA","AGFD","FR","PA",""
"AIR LIQUIDE SA","PARIS","RLIQFRPP","RLIQ","FR","PP",""
"AIRBUS SAS","BLAGNAC","AIRBFR22","AIRB","FR","22",""
"AL KHALIJI FRANCE S.A.","PARIS","LICOFRPP","LICO","FR","PP",""
"ALCATEL-LUCENT","COLOMBES","ATELFRPP","ATEL","FR","PP",""
"ALDES AERAULIQUE","VENISSIEUX","ALDEFR2V","ALDE","FR","2V",""
"ALLIANZ BANQUE S.A. (FORMER BANQUE AGF S.A.)","PARIS","AGFBFRCC","AGFB","FR","CC",""
"ALLIANZ BANQUE S.A. (FORMER BANQUE AGF S.A.)","PARIS","AGFBFRPP","AGFB","FR","PP",""
"ALLIANZ IARD","PARIS","ALLZFRPP","ALLZ","FR","PP",""
"ALSTOM HOLDINGS","LEVALLOIS PERRET","ALHOFRPP","ALHO","FR","PP",""
"ALSYON TECHNOLOGIES","LE VESINET","ALSYFRPP","ALSY","FR","PP",""
"AMUNDI ASSET MANAGEMENT","PARIS","AGRIFRPI","AGRI","FR","PI",""
"APICIL GESTION","CALUIRE ET CUIRE","APIGFR22","APIG","FR","22",""
"APTARGROUP HOLDING SAS","LOUVECIENNES","APTGFR22","APTG","FR","22",""
"ARC INTERNATIONAL","ARQUES","ARCTFR22","ARCT","FR","22",""
"ARCELORMITTAL TREASURY SNC","SAINT DENIS","USINFRPP","USIN","FR","PP",""
"AREVA SA","PARIS","AREVFRPP","AREV","FR","PP",""
"ARIANESPACE S.A","EVRY","ARNNFR22","ARNN","FR","22",""
"ART ET TECHNIQUES DU PROGRES","ORLEANS","GRSRFR22","GRSR","FR","22",""
"ASSYSTEM","PARIS","ASSYFRPP","ASSY","FR","PP",""
"ATTIJARIWAFA BANK EUROPE-PARIS","PARIS","BCMAFRPP","BCMA","FR","PP",""
"AUREL BGC","PARIS","AULSFRP2","AULS","FR","P2",""
"AXA BANQUE SA","FONTENAY SOUS BOIS","AXABFRPP","AXAB","FR","PP",""
"AXA BANQUE SA","PARIS","AXABFRPPTG2","AXAB","FR","PP","TG2"
"AXA FRANCE VIE","NANTERRE","AXAFFRPA","AXAF","FR","PA",""
"AXELTIS SA","PARIS","AXLTFRPP","AXLT","FR","PP",""
"BAI SA","ROSCOFF","BAIIFR22","BAII","FR","22",""
"BANCA CARIGE SPA","NICE","CRGEFR2X","CRGE","FR","2X",""
"BANCA REGIONALE EUROPEA S.P.A.","NICE","BREUFR22","BREU","FR","22",""
"BANCO BILBAO VIZCAYA ARGENTARIA","PARIS","BBVAFRPPBDF","BBVA","FR","PP","BDF"
"BANCO BILBAO VIZCAYA ARGENTARIA","PARIS","BBVAFRPP","BBVA","FR","PP",""
"BANCO BPI, PARIS","PARIS","BBPIFRPP","BBPI","FR","PP",""
"BANCO DE SABADELL","PARIS","BSABFRPP","BSAB","FR","PP",""
"BANCO DO BRASIL AG SUCCURSALE FRANCE","PARIS","BRASFRPP","BRAS","FR","PP",""
"BANCO SANTANDER S.A.","PARIS","BSCHFRPP","BSCH","FR","PP",""
"BANCO SANTANDER S.A.","PARIS","BSCHFRPPBF1","BSCH","FR","PP","BF1"
"BANK AUDI FRANCE","PARIS","AUDIFRPP","AUDI","FR","PP",""
"BANK OF AMERICA, N.A. PARIS","PARIS","BOFAFRPP","BOFA","FR","PP",""
"BANK OF CHINA, PARIS BRANCH","PARIS","BKCHFRPP013","BKCH","FR","PP","013"
"BANK OF CHINA, PARIS BRANCH","PARIS","BKCHFRPP","BKCH","FR","PP",""
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE","PARIS","BOTKFRCC","BOTK","FR","CC",""
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE","PARIS","BOTKFRPX","BOTK","FR","PX",""
"BANQUE ACCORD","CROIX","BACCFR22","BACC","FR","22",""
"BANQUE BCP","PARIS","BPSMFRPP","BPSM","FR","PP",""
"BANQUE BIA","PARIS","BIARFRPP","BIAR","FR","PP",""
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPCBP","BACP","FR","PP","CBP"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPOTC","BACP","FR","PP","OTC"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPMMO","BACP","FR","PP","MMO"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPSBL","BACP","FR","PP","SBL"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPASI","BACP","FR","PP","ASI"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPTG2","BACP","FR","PP","TG2"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPUSC","BACP","FR","PP","USC"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPCLI","BACP","FR","PP","CLI"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPDEF","BACP","FR","PP","DEF"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPP","BACP","FR","PP",""
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPAMS","BACP","FR","PP","AMS"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPBRU","BACP","FR","PP","BRU"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPDVP","BACP","FR","PP","DVP"
"BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA","PARIS","BACPFRPPTRE","BACP","FR","PP","TRE"
"BANQUE CHAABI DU MAROC","PARIS","BCDMFRPP","BCDM","FR","PP",""
"BANQUE CHAIX","AVIGNON","CCBPFRPPCHX","CCBP","FR","PP","CHX"
"BANQUE COURTOIS S.A.","TOULOUSE","COURFR2T","COUR","FR","2T",""
"BANQUE DE FRANCE","PARIS","BDFEFR2T3GX","BDFE","FR","2T","3GX"
"BANQUE DE FRANCE","PARIS","BDFEFR2T228","BDFE","FR","2T","228"
"BANQUE DE FRANCE","PARIS","BDFEFR2TALT","BDFE","FR","2T","ALT"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCBT","BDFE","FR","2T","CBT"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCP1","BDFE","FR","2T","CP1"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCC1","BDFE","FR","2T","CC1"
"BANQUE DE FRANCE","PARIS","BDFEFR2T4CB","BDFE","FR","2T","4CB"
"BANQUE DE FRANCE","PARIS","BDFEFR2TFAC","BDFE","FR","2T","FAC"
"BANQUE DE FRANCE","PARIS","BDFEFR2TPIV","BDFE","FR","2T","PIV"
"BANQUE DE FRANCE","PARIS","BDFEFR2TBDF","BDFE","FR","2T","BDF"
"BANQUE DE FRANCE","PARIS","BDFEFR2TESB","BDFE","FR","2T","ESB"
"BANQUE DE FRANCE","PARIS","BDFEFR2TIAM","BDFE","FR","2T","IAM"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCAI","BDFE","FR","2T","CAI"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSEE","BDFE","FR","2T","SEE"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSCC","BDFE","FR","2T","SCC"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTIT","BDFE","FR","2T","TIT"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTRY","BDFE","FR","2T","TRY"
